timestamp,main_state_changes,main_state
8264000,1,2
8768000,1,2
9272000,1,2
9776000,1,2
10280000,1,2
10784000,1,2
11288000,1,2
11792000,1,2
12296000,1,2
12800000,1,2
13304000,1,2
13808000,1,2
14312000,1,2
14816000,1,2
15320000,1,2
15824000,1,2
16328000,1,2
16832000,1,2
17336000,1,2
17840000,1,2
18344000,1,2
18848000,1,2
19352000,1,2
19856000,1,2
20360000,1,2
20864000,1,2
21368000,1,2
21872000,1,2
22376000,1,2
22880000,1,2
23384000,1,2
23888000,1,2
24392000,1,2
24896000,1,2
25400000,1,2
25904000,1,2
26408000,1,2
26912000,1,2
27416000,1,2
27920000,1,2
28424000,1,2
28928000,1,2
29432000,1,2
29936000,1,2
30440000,1,2
30944000,1,2
31448000,1,2
31952000,1,2
32456000,1,2
32960000,1,2
33464000,1,2
33968000,1,2
34472000,1,2
34976000,1,2
35480000,1,2
35984000,1,2
36488000,1,2
36992000,1,2
37496000,1,2
38000000,1,2
38504000,1,2
39008000,1,2
39512000,1,2
40016000,1,2
40520000,1,2
41024000,1,2
41528000,1,2
42032000,1,2
42536000,1,2
43040000,1,2
43544000,1,2
44048000,1,2
44552000,1,2
45056000,1,2
45560000,1,2
46064000,1,2
46568000,1,2
47072000,1,2
47576000,1,2
48080000,1,2
48584000,1,2
49088000,1,2
49592000,1,2
50096000,1,2
50600000,1,2
51104000,1,2
51608000,1,2
52112000,1,2
52616000,1,2
53120000,1,2
53624000,1,2
54128000,1,2
54632000,1,2
55136000,1,2
55640000,1,2
56144000,1,2
56648000,1,2
57152000,1,2
57656000,1,2
58160000,1,2
58664000,1,2
59168000,1,2
59672000,1,2
60176000,1,2
60680000,1,2
61184000,1,2
61688000,1,2
62192000,1,2
62696000,1,2
63200000,1,2
63704000,1,2
64208000,1,2
64712000,1,2
65216000,1,2
65720000,1,2
66224000,1,2
66728000,1,2
67232000,1,2
67740000,1,2
68244000,1,2
68748000,1,2
69252000,1,2
69756000,1,2
70260000,1,2
70764000,1,2
71268000,1,2
71772000,1,2
72280000,1,2
72784000,1,2
73288000,1,2
73792000,1,2
74296000,1,2
74800000,1,2
75304000,1,2
75808000,1,2
76312000,1,2
76816000,1,2
77320000,1,2
77824000,1,2
78328000,1,2
78832000,1,2
79336000,1,2
79840000,1,2
80344000,1,2
80848000,1,2
81352000,1,2
81856000,1,2
82360000,1,2
82864000,1,2
83368000,1,2
83876000,1,2
84380000,1,2
84884000,1,2
85388000,1,2
85892000,1,2
86396000,1,2
86900000,1,2
87404000,1,2
87908000,1,2
88412000,1,2
88916000,1,2
89424000,1,2
89928000,1,2
90432000,1,2
90936000,1,2
91440000,1,2
91944000,1,2
92448000,1,2
92952000,1,2
93456000,1,2
93960000,1,2
94464000,1,2
94968000,1,2
95472000,1,2
95976000,1,2
96480000,1,2
96984000,1,2
97488000,1,2
97992000,1,2
98496000,1,2
99000000,1,2
99504000,1,2
100008000,1,2
100512000,1,2
101016000,1,2
101520000,1,2
102024000,1,2
102532000,1,2
103036000,1,2
103540000,1,2
104044000,1,2
104548000,1,2
105052000,1,2
105556000,1,2
106064000,1,2
106568000,1,2
107072000,1,2
107572000,1,2
108076000,1,2
108580000,1,2
109084000,1,2
109588000,1,2
110092000,1,2
110596000,1,2
111100000,1,2
111604000,1,2
112108000,1,2
112612000,1,2
113116000,1,2
113620000,1,2
114124000,1,2
114628000,1,2
115132000,1,2
115636000,1,2
116140000,1,2
116644000,1,2
117148000,1,2
117652000,1,2
118156000,1,2
118660000,1,2
119168000,1,2
119672000,1,2
120176000,1,2
120680000,1,2
121184000,1,2
121688000,1,2
122192000,1,2
122696000,1,2
123200000,1,2
123704000,1,2
124208000,1,2
124712000,1,2
125216000,1,2
125720000,1,2
126224000,1,2
126728000,1,2
127232000,1,2
127736000,1,2
128240000,1,2
128744000,1,2
129248000,1,2
129752000,1,2
130256000,1,2
130760000,1,2
131264000,1,2
131768000,1,2
132272000,1,2
132780000,1,2
133284000,1,2
133788000,1,2
134292000,1,2
134800000,1,2
135304000,1,2
135808000,1,2
136312000,1,2
136816000,1,2
137320000,1,2
137824000,1,2
138328000,1,2
138832000,1,2
139340000,1,2
139844000,1,2
140348000,1,2
140852000,1,2
141356000,1,2
141860000,1,2
142364000,1,2
142868000,1,2
143372000,1,2
143876000,1,2
144380000,1,2
144884000,1,2
145388000,1,2
145892000,1,2
146396000,1,2
146900000,1,2
147404000,1,2
147908000,1,2
148412000,1,2
148916000,1,2
149420000,1,2
149924000,1,2
150428000,1,2
150932000,1,2
151436000,1,2
151940000,1,2
152444000,1,2
152948000,1,2
153456000,1,2
153960000,1,2
154464000,1,2
154968000,1,2
155472000,1,2
155976000,1,2
156480000,1,2
156984000,1,2
157488000,1,2
157992000,1,2
158496000,1,2
159000000,1,2
159504000,1,2
160008000,1,2
160516000,1,2
161020000,1,2
161528000,1,2
162032000,1,2
162536000,1,2
163040000,1,2
163544000,1,2
164048000,1,2
164552000,1,2
165056000,1,2
165560000,1,2
166064000,1,2
166568000,1,2
167072000,1,2
167576000,1,2
168080000,1,2
168584000,1,2
169088000,1,2
169592000,1,2
170096000,1,2
170600000,1,2
171108000,1,2
171612000,1,2
172116000,1,2
172620000,1,2
173124000,1,2
173628000,1,2
174132000,1,2
174636000,1,2
175140000,1,2
175644000,1,2
176148000,1,2
176652000,1,2
177156000,1,2
177660000,1,2
178164000,1,2
178668000,1,2
179172000,1,2
179676000,1,2
180180000,1,2
180684000,1,2
181188000,1,2
181692000,1,2
182196000,1,2
182700000,1,2
183204000,1,2
183708000,1,2
184212000,1,2
184716000,1,2
185220000,1,2
185724000,1,2
186228000,1,2
186732000,1,2
187236000,1,2
187740000,1,2
188244000,1,2
188748000,1,2
189248000,1,2
189752000,1,2
190256000,1,2
190760000,1,2
191264000,1,2
191768000,1,2
192272000,1,2
192776000,1,2
193280000,1,2
193784000,1,2
194288000,1,2
194792000,1,2
195296000,1,2
195800000,1,2
196304000,1,2
196808000,1,2
197312000,1,2
197816000,1,2
198320000,1,2
198824000,1,2
199328000,1,2
199832000,1,2
200336000,1,2
200840000,1,2
201344000,1,2
201848000,1,2
202352000,1,2
202856000,1,2
203360000,1,2
203864000,1,2
204368000,1,2
204872000,1,2
205376000,1,2
205880000,1,2
206384000,1,2
206888000,1,2
207392000,1,2
207896000,1,2
208400000,1,2
208904000,1,2
209408000,1,2
209912000,1,2
210416000,1,2
210920000,1,2
211424000,1,2
211928000,1,2
212432000,1,2
212936000,1,2
213440000,1,2
213944000,1,2
214448000,1,2
214952000,1,2
215456000,1,2
215960000,1,2
216464000,1,2
216968000,1,2
217472000,1,2
217976000,1,2
218480000,1,2
218984000,1,2
219488000,1,2
219992000,1,2
220496000,1,2
221000000,1,2
221504000,1,2
222008000,1,2
222512000,1,2
223020000,1,2
223524000,1,2
224028000,1,2
224536000,1,2
225040000,1,2
225544000,1,2
226048000,1,2
226556000,1,2
227060000,1,2
227564000,1,2
228068000,1,2
228572000,1,2
229076000,1,2
229580000,1,2
230084000,1,2
230588000,1,2
231092000,1,2
231596000,1,2
232100000,1,2
232604000,1,2
233108000,1,2
233612000,1,2
234116000,1,2
234392000,1,2
234896000,1,2
